codigo proyecto,nombre proyecto,mes presupuesto,partida presupuesto,monto presupuesto
PRY-011,Expansión de almacenes,Junio 2026,Personal,75959.75
PRY-018,Apertura de sede sur,Noviembre 2026,Software y licencias,95253.75
PRY-025,Resiliencia y continuidad operativa,Abril 2026,Comunicación y marketing,114547.75
PRY-007,Optimización de cadena de suministro,Septiembre 2026,Contingencias,102591.75
PRY-014,Equipamiento de laboratorio,Febrero 2026,Servicios profesionales,113135.75
PRY-021,Optimización energética,Julio 2026,Transporte,10929.75
PRY-003,Implementación de CRM,Diciembre 2026,Mantenimiento,120473.75
PRY-010,Plan de seguridad operativa,Mayo 2026,Equipamiento,9517.75
PRY-017,Mantenimiento de flota,Octubre 2026,Materiales,28811.75
PRY-024,Gestión documental,Marzo 2026,Capacitación,48105.75
PRY-007,Optimización de cadena de suministro,Agosto 2026,Personal,28649.75
PRY-014,Equipamiento de laboratorio,Enero 2026,Software y licencias,47943.75
PRY-021,Optimización energética,Junio 2026,Comunicación y marketing,67237.75
PRY-003,Implementación de CRM,Noviembre 2026,Contingencias,55281.75
PRY-010,Plan de seguridad operativa,Abril 2026,Servicios profesionales,65825.75
PRY-017,Mantenimiento de flota,Septiembre 2026,Transporte,85119.75
PRY-024,Gestión documental,Febrero 2026,Mantenimiento,104413.75
PRY-006,Campaña de posicionamiento regional,Julio 2026,Equipamiento,83707.75
PRY-013,Programa de sostenibilidad,Diciembre 2026,Materiales,103001.75
PRY-020,Actualización de marca,Mayo 2026,Capacitación,122295.75
PRY-002,Modernización de planta norte,Octubre 2026,Personal,101589.75
PRY-009,Desarrollo de portal web,Marzo 2026,Software y licencias,120883.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Comunicación y marketing,18677.75
PRY-023,Renovación de puntos de venta,Enero 2026,Personal,30096.75
PRY-005,Renovación de infraestructura TI,Julio 2026,Software y licencias,18140.75
PRY-012,Automatización de reportes,Diciembre 2026,Comunicación y marketing,37434.75
PRY-019,Proyecto de analítica avanzada,Mayo 2026,Contingencias,56728.75
PRY-001,Ampliación de oficina central,Octubre 2026,Servicios profesionales,36022.75
PRY-008,Centro de atención al cliente,Marzo 2026,Transporte,55316.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Mantenimiento,75860.75
PRY-023,Renovación de puntos de venta,Enero 2026,Equipamiento,86404.75
PRY-005,Renovación de infraestructura TI,Junio 2026,Materiales,74448.75
PRY-012,Automatización de reportes,Noviembre 2026,Capacitación,93742.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Personal,104286.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Software y licencias,92330.75
PRY-008,Centro de atención al cliente,Febrero 2026,Comunicación y marketing,111624.75
PRY-015,Migración de datos corporativos,Julio 2026,Contingencias,9418.75
PRY-022,Programa de fidelización,Diciembre 2026,Servicios profesionales,19962.75
PRY-004,Programa de capacitación comercial,Mayo 2026,Transporte,8006.75
PRY-011,Expansión de almacenes,Octubre 2026,Mantenimiento,27300.75
PRY-018,Apertura de sede sur,Marzo 2026,Equipamiento,37844.75
PRY-025,Resiliencia y continuidad operativa,Agosto 2026,Materiales,57138.75
PRY-007,Optimización de cadena de suministro,Enero 2026,Capacitación,45182.75
PRY-014,Equipamiento de laboratorio,Junio 2026,Personal,55726.75
PRY-021,Optimización energética,Noviembre 2026,Software y licencias,75020.75
PRY-003,Implementación de CRM,Abril 2026,Comunicación y marketing,63064.75
PRY-010,Plan de seguridad operativa,Septiembre 2026,Personal,74483.75
PRY-017,Mantenimiento de flota,Febrero 2026,Software y licencias,93777.75
PRY-025,Resiliencia y continuidad operativa,Julio 2026,Comunicación y marketing,114321.75
PRY-007,Optimización de cadena de suministro,Diciembre 2026,Contingencias,102365.75
PRY-014,Equipamiento de laboratorio,Mayo 2026,Servicios profesionales,112909.75
PRY-021,Optimización energética,Octubre 2026,Transporte,10703.75
PRY-003,Implementación de CRM,Marzo 2026,Mantenimiento,120247.75
PRY-010,Plan de seguridad operativa,Agosto 2026,Equipamiento,9291.75
PRY-017,Mantenimiento de flota,Enero 2026,Materiales,28585.75
PRY-024,Gestión documental,Junio 2026,Capacitación,47879.75
PRY-006,Campaña de posicionamiento regional,Noviembre 2026,Personal,27173.75
PRY-013,Programa de sostenibilidad,Abril 2026,Software y licencias,46467.75
PRY-020,Actualización de marca,Septiembre 2026,Comunicación y marketing,65761.75
PRY-002,Modernización de planta norte,Febrero 2026,Contingencias,53805.75
PRY-009,Desarrollo de portal web,Julio 2026,Servicios profesionales,64349.75
PRY-016,Rediseño de experiencia móvil,Enero 2026,Transporte,83643.75
PRY-023,Renovación de puntos de venta,Junio 2026,Mantenimiento,102937.75
PRY-005,Renovación de infraestructura TI,Noviembre 2026,Equipamiento,82231.75
PRY-012,Automatización de reportes,Abril 2026,Materiales,101525.75
PRY-019,Proyecto de analítica avanzada,Septiembre 2026,Capacitación,120819.75
PRY-001,Ampliación de oficina central,Febrero 2026,Personal,100113.75
PRY-009,Desarrollo de portal web,Julio 2026,Software y licencias,120657.75
PRY-016,Rediseño de experiencia móvil,Diciembre 2026,Comunicación y marketing,18451.75
PRY-023,Renovación de puntos de venta,Mayo 2026,Personal,29870.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Software y licencias,17914.75
PRY-012,Automatización de reportes,Marzo 2026,Comunicación y marketing,37208.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Contingencias,56502.75
PRY-001,Ampliación de oficina central,Enero 2026,Servicios profesionales,35796.75
PRY-008,Centro de atención al cliente,Junio 2026,Transporte,55090.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Mantenimiento,74384.75
PRY-022,Programa de fidelización,Abril 2026,Equipamiento,84928.75
PRY-004,Programa de capacitación comercial,Septiembre 2026,Materiales,72972.75
PRY-011,Expansión de almacenes,Febrero 2026,Capacitación,92266.75
PRY-018,Apertura de sede sur,Julio 2026,Personal,102810.75
PRY-025,Resiliencia y continuidad operativa,Diciembre 2026,Software y licencias,122104.75
PRY-007,Optimización de cadena de suministro,Mayo 2026,Comunicación y marketing,110148.75
PRY-014,Equipamiento de laboratorio,Octubre 2026,Contingencias,7942.75
PRY-021,Optimización energética,Marzo 2026,Servicios profesionales,18486.75
PRY-003,Implementación de CRM,Agosto 2026,Transporte,6530.75
PRY-010,Plan de seguridad operativa,Enero 2026,Mantenimiento,25824.75
PRY-018,Apertura de sede sur,Junio 2026,Equipamiento,37618.75
PRY-025,Resiliencia y continuidad operativa,Noviembre 2026,Materiales,56912.75
PRY-007,Optimización de cadena de suministro,Abril 2026,Capacitación,44956.75
PRY-014,Equipamiento de laboratorio,Septiembre 2026,Personal,55500.75
PRY-021,Optimización energética,Febrero 2026,Software y licencias,74794.75
PRY-003,Implementación de CRM,Julio 2026,Comunicación y marketing,62838.75
PRY-010,Plan de seguridad operativa,Diciembre 2026,Personal,74257.75
PRY-017,Mantenimiento de flota,Mayo 2026,Software y licencias,93551.75
PRY-024,Gestión documental,Octubre 2026,Comunicación y marketing,112845.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Contingencias,100889.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Servicios profesionales,111433.75
PRY-020,Actualización de marca,Enero 2026,Transporte,9227.75
PRY-002,Modernización de planta norte,Julio 2026,Mantenimiento,118771.75
PRY-009,Desarrollo de portal web,Diciembre 2026,Equipamiento,7815.75
PRY-016,Rediseño de experiencia móvil,Mayo 2026,Materiales,27109.75
PRY-023,Renovación de puntos de venta,Octubre 2026,Capacitación,46403.75
PRY-005,Renovación de infraestructura TI,Marzo 2026,Personal,25697.75
PRY-012,Automatización de reportes,Agosto 2026,Software y licencias,44991.75
PRY-019,Proyecto de analítica avanzada,Enero 2026,Comunicación y marketing,64285.75
PRY-002,Modernización de planta norte,Junio 2026,Contingencias,53579.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Servicios profesionales,64123.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Transporte,83417.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Mantenimiento,102711.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Equipamiento,82005.75
PRY-012,Automatización de reportes,Julio 2026,Materiales,101299.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Capacitación,120593.75
PRY-001,Ampliación de oficina central,Mayo 2026,Personal,99887.75
PRY-008,Centro de atención al cliente,Octubre 2026,Software y licencias,119181.75
PRY-015,Migración de datos corporativos,Marzo 2026,Comunicación y marketing,16975.75
PRY-022,Programa de fidelización,Agosto 2026,Personal,28394.75
PRY-004,Programa de capacitación comercial,Enero 2026,Software y licencias,16438.75
PRY-011,Expansión de almacenes,Junio 2026,Comunicación y marketing,35732.75
PRY-018,Apertura de sede sur,Noviembre 2026,Contingencias,55026.75
PRY-025,Resiliencia y continuidad operativa,Abril 2026,Servicios profesionales,65570.75
PRY-007,Optimización de cadena de suministro,Septiembre 2026,Transporte,53614.75
PRY-014,Equipamiento de laboratorio,Febrero 2026,Mantenimiento,72908.75
PRY-021,Optimización energética,Julio 2026,Equipamiento,83452.75
PRY-003,Implementación de CRM,Diciembre 2026,Materiales,71496.75
PRY-011,Expansión de almacenes,Mayo 2026,Capacitación,92040.75
PRY-018,Apertura de sede sur,Octubre 2026,Personal,102584.75
PRY-025,Resiliencia y continuidad operativa,Marzo 2026,Software y licencias,121878.75
PRY-007,Optimización de cadena de suministro,Agosto 2026,Comunicación y marketing,109922.75
PRY-014,Equipamiento de laboratorio,Enero 2026,Contingencias,7716.75
PRY-021,Optimización energética,Junio 2026,Servicios profesionales,18260.75
PRY-003,Implementación de CRM,Noviembre 2026,Transporte,6304.75
PRY-010,Plan de seguridad operativa,Abril 2026,Mantenimiento,25598.75
PRY-017,Mantenimiento de flota,Septiembre 2026,Equipamiento,36142.75
PRY-024,Gestión documental,Febrero 2026,Materiales,55436.75
PRY-006,Campaña de posicionamiento regional,Julio 2026,Capacitación,43480.75
PRY-013,Programa de sostenibilidad,Enero 2026,Personal,54024.75
PRY-020,Actualización de marca,Junio 2026,Software y licencias,73318.75
PRY-002,Modernización de planta norte,Noviembre 2026,Comunicación y marketing,61362.75
PRY-009,Desarrollo de portal web,Abril 2026,Personal,72781.75
PRY-016,Rediseño de experiencia móvil,Septiembre 2026,Software y licencias,92075.75
PRY-023,Renovación de puntos de venta,Febrero 2026,Comunicación y marketing,111369.75
PRY-005,Renovación de infraestructura TI,Julio 2026,Contingencias,99413.75
PRY-012,Automatización de reportes,Diciembre 2026,Servicios profesionales,109957.75
PRY-020,Actualización de marca,Mayo 2026,Transporte,9001.75
PRY-002,Modernización de planta norte,Octubre 2026,Mantenimiento,118545.75
PRY-009,Desarrollo de portal web,Marzo 2026,Equipamiento,7589.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Materiales,26883.75
PRY-023,Renovación de puntos de venta,Enero 2026,Capacitación,46177.75
PRY-005,Renovación de infraestructura TI,Junio 2026,Personal,25471.75
PRY-012,Automatización de reportes,Noviembre 2026,Software y licencias,44765.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Comunicación y marketing,64059.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Contingencias,52103.75
PRY-008,Centro de atención al cliente,Febrero 2026,Servicios profesionales,62647.75
PRY-015,Migración de datos corporativos,Julio 2026,Transporte,81941.75
PRY-022,Programa de fidelización,Diciembre 2026,Mantenimiento,101235.75
PRY-004,Programa de capacitación comercial,Mayo 2026,Equipamiento,80529.75
PRY-011,Expansión de almacenes,Octubre 2026,Materiales,99823.75
PRY-018,Apertura de sede sur,Marzo 2026,Capacitación,119117.75
PRY-025,Resiliencia y continuidad operativa,Agosto 2026,Personal,8161.75
PRY-007,Optimización de cadena de suministro,Enero 2026,Software y licencias,117705.75
PRY-014,Equipamiento de laboratorio,Junio 2026,Comunicación y marketing,15499.75
PRY-021,Optimización energética,Noviembre 2026,Personal,26918.75
PRY-004,Programa de capacitación comercial,Abril 2026,Software y licencias,16212.75
PRY-011,Expansión de almacenes,Septiembre 2026,Comunicación y marketing,35506.75
PRY-018,Apertura de sede sur,Febrero 2026,Contingencias,54800.75
PRY-025,Resiliencia y continuidad operativa,Julio 2026,Servicios profesionales,65344.75
PRY-007,Optimización de cadena de suministro,Diciembre 2026,Transporte,53388.75
PRY-014,Equipamiento de laboratorio,Mayo 2026,Mantenimiento,72682.75
PRY-021,Optimización energética,Octubre 2026,Equipamiento,83226.75
PRY-003,Implementación de CRM,Marzo 2026,Materiales,71270.75
PRY-010,Plan de seguridad operativa,Agosto 2026,Capacitación,90564.75
PRY-017,Mantenimiento de flota,Enero 2026,Personal,101108.75
PRY-024,Gestión documental,Julio 2026,Software y licencias,120402.75
PRY-006,Campaña de posicionamiento regional,Diciembre 2026,Comunicación y marketing,108446.75
PRY-013,Programa de sostenibilidad,Mayo 2026,Contingencias,6240.75
PRY-020,Actualización de marca,Octubre 2026,Servicios profesionales,16784.75
PRY-002,Modernización de planta norte,Marzo 2026,Transporte,4828.75
PRY-009,Desarrollo de portal web,Agosto 2026,Mantenimiento,24122.75
PRY-016,Rediseño de experiencia móvil,Enero 2026,Equipamiento,34666.75
PRY-023,Renovación de puntos de venta,Junio 2026,Materiales,53960.75
PRY-005,Renovación de infraestructura TI,Noviembre 2026,Capacitación,42004.75
PRY-013,Programa de sostenibilidad,Abril 2026,Personal,53798.75
PRY-020,Actualización de marca,Septiembre 2026,Software y licencias,73092.75
PRY-002,Modernización de planta norte,Febrero 2026,Comunicación y marketing,61136.75
PRY-009,Desarrollo de portal web,Julio 2026,Personal,72555.75
PRY-016,Rediseño de experiencia móvil,Diciembre 2026,Software y licencias,91849.75
PRY-023,Renovación de puntos de venta,Mayo 2026,Comunicación y marketing,111143.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Contingencias,99187.75
PRY-012,Automatización de reportes,Marzo 2026,Servicios profesionales,109731.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Transporte,7525.75
PRY-001,Ampliación de oficina central,Enero 2026,Mantenimiento,117069.75
PRY-008,Centro de atención al cliente,Junio 2026,Equipamiento,6113.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Materiales,25407.75
PRY-022,Programa de fidelización,Abril 2026,Capacitación,44701.75
PRY-004,Programa de capacitación comercial,Septiembre 2026,Personal,23995.75
PRY-011,Expansión de almacenes,Febrero 2026,Software y licencias,43289.75
PRY-018,Apertura de sede sur,Julio 2026,Comunicación y marketing,62583.75
PRY-025,Resiliencia y continuidad operativa,Diciembre 2026,Contingencias,81877.75
PRY-007,Optimización de cadena de suministro,Mayo 2026,Servicios profesionales,61171.75
PRY-014,Equipamiento de laboratorio,Octubre 2026,Transporte,80465.75
PRY-022,Programa de fidelización,Marzo 2026,Mantenimiento,101009.75
PRY-004,Programa de capacitación comercial,Agosto 2026,Equipamiento,80303.75
PRY-011,Expansión de almacenes,Enero 2026,Materiales,99597.75
PRY-018,Apertura de sede sur,Junio 2026,Capacitación,118891.75
PRY-025,Resiliencia y continuidad operativa,Noviembre 2026,Personal,7935.75
PRY-007,Optimización de cadena de suministro,Abril 2026,Software y licencias,117479.75
PRY-014,Equipamiento de laboratorio,Septiembre 2026,Comunicación y marketing,15273.75
PRY-021,Optimización energética,Febrero 2026,Personal,26692.75
PRY-003,Implementación de CRM,Julio 2026,Software y licencias,14736.75
PRY-010,Plan de seguridad operativa,Enero 2026,Comunicación y marketing,34030.75
PRY-017,Mantenimiento de flota,Junio 2026,Contingencias,53324.75
PRY-024,Gestión documental,Noviembre 2026,Servicios profesionales,63868.75
PRY-006,Campaña de posicionamiento regional,Abril 2026,Transporte,51912.75
PRY-013,Programa de sostenibilidad,Septiembre 2026,Mantenimiento,71206.75
PRY-020,Actualización de marca,Febrero 2026,Equipamiento,81750.75
PRY-002,Modernización de planta norte,Julio 2026,Materiales,69794.75
PRY-009,Desarrollo de portal web,Diciembre 2026,Capacitación,89088.75
